day,route_id,stop_name,hour,boarding_count,alighting_count,occupancy,crowd_level
1,61,Burdi,5,8,5,3,LOW
1,61,Panchasheel Square,5,4,8,0,LOW
1,61,Rahate Colony,5,6,8,0,LOW
1,61,Ajni Square,5,8,9,0,LOW
1,61,Chatrapati Square,5,5,7,0,LOW
1,61,Ujjwal Nagar,5,5,4,1,LOW
1,61,Airport,5,8,6,3,LOW
1,61,Chinchbhavan,5,3,6,0,LOW
1,61,Khapri,5,4,6,0,LOW
1,61,Ashokwan,5,9,6,3,LOW
1,61,Mohgaon,5,8,8,3,LOW
1,61,Butibori,5,3,9,0,LOW
1,45,Burdi,5,4,6,0,LOW
1,45,Panchasheel Square,5,3,5,0,LOW
1,45,Rahate Colony,5,3,3,0,LOW
1,45,Ajni Square,5,8,6,2,LOW
1,45,Chatrapati Square,5,4,3,3,LOW
1,45,Ujjwal Nagar,5,3,4,2,LOW
1,45,Airport,5,3,4,1,LOW
1,45,Chinchbhavan,5,4,4,1,LOW
1,45,Khapri,5,5,5,1,LOW
1,45,Ashokwan,5,3,5,0,LOW
1,45,Mohgaon,5,7,6,1,LOW
1,45,Butibori,5,5,3,3,LOW
1,33,Burdi,5,5,9,0,LOW
1,33,Panchasheel Square,5,5,9,0,LOW
1,33,Rahate Colony,5,7,4,3,LOW
1,33,Ajni Square,5,9,8,4,LOW
1,33,Chatrapati Square,5,4,8,0,LOW
1,33,Ujjwal Nagar,5,8,3,5,LOW
1,33,Airport,5,8,4,9,LOW
1,33,Chinchbhavan,5,5,4,10,LOW
1,33,Khapri,5,6,5,11,LOW
1,33,Ashokwan,5,8,8,11,LOW
1,33,Mohgaon,5,6,5,12,LOW
1,33,Butibori,5,8,3,17,MEDIUM
1,61,Burdi,6,4,6,0,LOW
1,61,Panchasheel Square,6,7,4,3,LOW
1,61,Rahate Colony,6,7,6,4,LOW
1,61,Ajni Square,6,3,3,4,LOW
1,61,Chatrapati Square,6,5,5,4,LOW
1,61,Ujjwal Nagar,6,9,4,9,LOW
1,61,Airport,6,9,3,15,MEDIUM
1,61,Chinchbhavan,6,7,7,15,MEDIUM
1,61,Khapri,6,7,3,19,MEDIUM
1,61,Ashokwan,6,7,7,19,MEDIUM
1,61,Mohgaon,6,5,7,17,MEDIUM
1,61,Butibori,6,4,3,18,MEDIUM
1,45,Burdi,6,9,8,1,LOW
1,45,Panchasheel Square,6,8,4,5,LOW
1,45,Rahate Colony,6,6,8,3,LOW
1,45,Ajni Square,6,9,6,6,LOW
1,45,Chatrapati Square,6,6,4,8,LOW
1,45,Ujjwal Nagar,6,3,7,4,LOW
1,45,Airport,6,4,6,2,LOW
1,45,Chinchbhavan,6,5,3,4,LOW
1,45,Khapri,6,6,8,2,LOW
1,45,Ashokwan,6,6,4,4,LOW
1,45,Mohgaon,6,8,6,6,LOW
1,45,Butibori,6,5,9,2,LOW
1,33,Burdi,6,8,8,0,LOW
